epoch,module,reward,obstacles,time
48,Obstacle,0.00000000,0,999
48,Finish + Obstacle,79.00000000,0,87
49,Finish,79.00000000,1,93
49,Obstacle,-400.00000000,4,999
49,Finish + Obstacle,-21.00000000,1,91
50,Finish,79.00000000,1,84
50,Obstacle,0.00000000,0,999
50,Finish + Obstacle,79.00000000,0,90
51,Finish,79.00000000,3,87
51,Obstacle,-200.00000000,2,999
51,Finish + Obstacle,-221.00000000,3,86
52,Finish,79.00000000,1,85
52,Obstacle,0.00000000,0,999
52,Finish + Obstacle,-21.00000000,1,93
53,Finish,79.00000000,1,92
53,Obstacle,-500.00000000,5,999
53,Finish + Obstacle,79.00000000,0,82
54,Finish,79.00000000,1,84
54,Obstacle,-100.00000000,1,999
54,Finish + Obstacle,-121.00000000,2,85
55,Finish,79.00000000,1,90
55,Obstacle,-800.00000000,8,999
55,Finish + Obstacle,-21.00000000,1,90
56,Finish,79.00000000,0,90
56,Obstacle,-300.00000000,3,999
56,Finish + Obstacle,-21.00000000,1,88
57,Finish,79.00000000,0,87
57,Obstacle,-1400.00000000,14,999
57,Finish + Obstacle,79.00000000,0,92
58,Finish,79.00000000,2,89
58,Obstacle,-200.00000000,2,999
58,Finish + Obstacle,79.00000000,0,87
59,Finish,79.00000000,3,85
59,Obstacle,-200.00000000,2,999
59,Finish + Obstacle,-121.00000000,2,89
60,Finish,79.00000000,0,86
60,Obstacle,0.00000000,0,999
60,Finish + Obstacle,-21.00000000,1,86
61,Finish,79.00000000,1,87
61,Obstacle,-1000.00000000,10,999
61,Finish + Obstacle,-21.00000000,1,83
62,Finish,79.00000000,1,90
62,Obstacle,-200.00000000,2,999
62,Finish + Obstacle,-121.00000000,2,93
63,Finish,79.00000000,3,85
63,Obstacle,-1500.00000000,15,999
63,Finish + Obstacle,-21.00000000,1,87
64,Finish,79.00000000,1,90
64,Obstacle,-400.00000000,4,999
64,Finish + Obstacle,-21.00000000,1,84
65,Finish,79.00000000,2,85
65,Obstacle,-500.00000000,5,999
65,Finish + Obstacle,-121.00000000,2,87
66,Finish,79.00000000,2,86
66,Obstacle,-600.00000000,6,999
66,Finish + Obstacle,-121.00000000,2,88
67,Finish,79.00000000,3,98
67,Obstacle,-200.00000000,2,999
67,Finish + Obstacle,79.00000000,0,85
68,Finish,79.00000000,1,83
68,Obstacle,-900.00000000,9,999
68,Finish + Obstacle,-121.00000000,2,91
69,Finish,79.00000000,1,93
69,Obstacle,0.00000000,0,999
69,Finish + Obstacle,-121.00000000,2,90
70,Finish,79.00000000,2,84
70,Obstacle,-100.00000000,1,999
70,Finish + Obstacle,-21.00000000,1,86
71,Finish,79.00000000,2,86
71,Obstacle,-1100.00000000,11,999
71,Finish + Obstacle,79.00000000,0,91
72,Finish,79.00000000,1,85
72,Obstacle,-500.00000000,5,999
72,Finish + Obstacle,-221.00000000,3,94
73,Finish,79.00000000,2,81
73,Obstacle,-300.00000000,3,999
73,Finish + Obstacle,79.00000000,0,91
74,Finish,79.00000000,2,83
74,Obstacle,0.00000000,0,999
74,Finish + Obstacle,-21.00000000,1,86
75,Finish,79.00000000,0,84
75,Obstacle,-200.00000000,2,999
75,Finish + Obstacle,-21.00000000,1,87
76,Finish,79.00000000,1,93
76,Obstacle,-900.00000000,9,999
76,Finish + Obstacle,-21.00000000,1,86
77,Finish,79.00000000,0,90
77,Obstacle,-200.00000000,2,999
77,Finish + Obstacle,-21.00000000,1,87
78,Finish,79.00000000,2,86
78,Obstacle,-300.00000000,3,999
78,Finish + Obstacle,-21.00000000,1,87
79,Finish,79.00000000,2,85
79,Obstacle,-1100.00000000,11,999
79,Finish + Obstacle,-121.00000000,2,88
80,Finish,79.00000000,1,88
80,Obstacle,-700.00000000,7,999
80,Finish + Obstacle,79.00000000,0,84
81,Finish,79.00000000,2,89
81,Obstacle,0.00000000,0,999
81,Finish + Obstacle,-121.00000000,2,81
82,Finish,79.00000000,1,83
82,Obstacle,-600.00000000,6,999
82,Finish + Obstacle,-121.00000000,2,95
83,Finish,79.00000000,1,93
83,Obstacle,0.00000000,0,999
83,Finish + Obstacle,-21.00000000,1,86
84,Finish,79.00000000,0,83
84,Obstacle,-400.00000000,4,999
84,Finish + Obstacle,-121.00000000,2,83
85,Finish,79.00000000,2,84
85,Obstacle,-500.00000000,5,999
85,Finish + Obstacle,-21.00000000,1,88
86,Finish,79.00000000,1,96
86,Obstacle,0.00000000,0,999
86,Finish + Obstacle,-21.00000000,1,89
87,Finish,79.00000000,2,86
87,Obstacle,-400.00000000,4,999
87,Finish + Obstacle,-21.00000000,1,89
88,Finish,79.00000000,1,89
88,Obstacle,-800.00000000,8,999
88,Finish + Obstacle,-121.00000000,2,89
89,Finish,79.00000000,0,89
89,Obstacle,-300.00000000,3,999
89,Finish + Obstacle,79.00000000,0,92
90,Finish,79.00000000,3,106
90,Obstacle,-300.00000000,3,999
90,Finish + Obstacle,-221.00000000,3,87
91,Finish,79.00000000,3,94
91,Obstacle,-200.00000000,2,999
91,Finish + Obstacle,-121.00000000,2,82
92,Finish,79.00000000,0,86
92,Obstacle,0.00000000,0,999
92,Finish + Obstacle,-21.00000000,1,89
93,Finish,79.00000000,1,91
93,Obstacle,-2600.00000000,26,999
93,Finish + Obstacle,-421.00000000,5,86
94,Finish,79.00000000,0,89
94,Obstacle,-600.00000000,6,999
94,Finish + Obstacle,-21.00000000,1,85
95,Finish,79.00000000,1,90
95,Obstacle,-200.00000000,2,999
95,Finish + Obstacle,-21.00000000,1,83
96,Finish,79.00000000,1,89
96,Obstacle,-300.00000000,3,999
96,Finish + Obstacle,79.00000000,0,85
97,Finish,79.00000000,1,85
97,Obstacle,0.00000000,0,999
97,Finish + Obstacle,-21.00000000,1,91
98,Finish,79.00000000,3,90
98,Obstacle,-100.00000000,1,999
98,Finish + Obstacle,79.00000000,0,85
99,Finish,79.00000000,2,90
99,Obstacle,-700.00000000,7,999
99,Finish + Obstacle,-21.00000000,1,83
100,Finish,79.00000000,0,85
100,Obstacle,-300.00000000,3,999
100,Finish + Obstacle,-221.00000000,3,90
101,Finish,79.00000000,1,88
101,Obstacle,-200.00000000,2,999
101,Finish + Obstacle,79.00000000,0,88
102,Finish,79.00000000,1,86
102,Obstacle,-900.00000000,9,999
102,Finish + Obstacle,-321.00000000,4,86
103,Finish,79.00000000,0,89
103,Obstacle,-300.00000000,3,999
103,Finish + Obstacle,79.00000000,0,92
104,Finish,79.00000000,2,82
104,Obstacle,-100.00000000,1,999
104,Finish + Obstacle,79.00000000,0,91
105,Finish,79.00000000,1,95
105,Obstacle,-100.00000000,1,999
105,Finish + Obstacle,-221.00000000,3,94
106,Finish,79.00000000,0,83
106,Obstacle,-200.00000000,2,999
106,Finish + Obstacle,-121.00000000,2,87
107,Finish,79.00000000,1,94
107,Obstacle,-200.00000000,2,999
107,Finish + Obstacle,79.00000000,0,94
108,Finish,79.00000000,3,82
108,Obstacle,-400.00000000,4,999
108,Finish + Obstacle,-21.00000000,1,91
109,Finish,79.00000000,1,92
109,Obstacle,-300.00000000,3,999
109,Finish + Obstacle,-221.00000000,3,89
110,Finish,79.00000000,2,92
110,Obstacle,-1000.00000000,10,999
110,Finish + Obstacle,-121.00000000,2,98
111,Finish,79.00000000,3,94
111,Obstacle,-2200.00000000,22,999
111,Finish + Obstacle,-121.00000000,2,84
112,Finish,79.00000000,0,95
112,Obstacle,-200.00000000,2,999
112,Finish + Obstacle,-321.00000000,4,90
113,Finish,79.00000000,2,87
113,Obstacle,0.00000000,0,999
113,Finish + Obstacle,-21.00000000,1,90
