epoch,module,reward,obstacles,time
48,Obstacle,-33.00000000,33,999
48,Finish + Obstacle,78.00000000,1,79
49,Finish,79.00000000,0,81
49,Obstacle,-44.00000000,44,999
49,Finish + Obstacle,78.00000000,1,79
50,Finish,79.00000000,3,81
50,Obstacle,-25.00000000,25,999
50,Finish + Obstacle,76.00000000,3,79
51,Finish,79.00000000,5,79
51,Obstacle,0.00000000,0,999
51,Finish + Obstacle,76.00000000,3,80
52,Finish,79.00000000,2,79
52,Obstacle,-17.00000000,17,999
52,Finish + Obstacle,77.00000000,2,79
53,Finish,79.00000000,1,82
53,Obstacle,-18.00000000,18,999
53,Finish + Obstacle,77.00000000,2,79
54,Finish,79.00000000,1,80
54,Obstacle,-35.00000000,35,999
54,Finish + Obstacle,77.00000000,2,79
55,Finish,79.00000000,1,79
55,Obstacle,-26.00000000,26,999
55,Finish + Obstacle,77.00000000,2,79
56,Finish,79.00000000,1,80
56,Obstacle,-24.00000000,24,999
56,Finish + Obstacle,77.00000000,2,80
57,Finish,79.00000000,4,80
57,Obstacle,-20.00000000,20,999
57,Finish + Obstacle,77.00000000,2,79
58,Finish,79.00000000,3,79
58,Obstacle,-21.00000000,21,999
58,Finish + Obstacle,78.00000000,1,80
59,Finish,79.00000000,3,80
59,Obstacle,-28.00000000,28,999
59,Finish + Obstacle,77.00000000,2,79
60,Finish,79.00000000,2,79
60,Obstacle,-34.00000000,34,999
60,Finish + Obstacle,77.00000000,2,79
61,Finish,79.00000000,3,81
61,Obstacle,0.00000000,0,999
61,Finish + Obstacle,76.00000000,3,79
62,Finish,79.00000000,1,79
62,Obstacle,-34.00000000,34,999
62,Finish + Obstacle,77.00000000,2,79
63,Finish,79.00000000,3,79
63,Obstacle,-31.00000000,31,999
63,Finish + Obstacle,79.00000000,0,79
64,Finish,79.00000000,2,79
64,Obstacle,-27.00000000,27,999
64,Finish + Obstacle,79.00000000,0,79
65,Finish,79.00000000,6,80
65,Obstacle,-69.00000000,69,999
65,Finish + Obstacle,77.00000000,2,79
66,Finish,79.00000000,2,79
66,Obstacle,-13.00000000,13,999
66,Finish + Obstacle,78.00000000,1,79
67,Finish,79.00000000,3,81
67,Obstacle,-30.00000000,30,999
67,Finish + Obstacle,79.00000000,0,81
68,Finish,79.00000000,2,79
68,Obstacle,-61.00000000,61,999
68,Finish + Obstacle,76.00000000,3,79
69,Finish,79.00000000,2,79
69,Obstacle,-19.00000000,19,999
69,Finish + Obstacle,78.00000000,1,79
70,Finish,79.00000000,3,80
70,Obstacle,-22.00000000,22,999
70,Finish + Obstacle,78.00000000,1,79
71,Finish,79.00000000,2,80
71,Obstacle,-17.00000000,17,999
71,Finish + Obstacle,78.00000000,1,79
72,Finish,79.00000000,1,81
72,Obstacle,-30.00000000,30,999
72,Finish + Obstacle,77.00000000,2,81
73,Finish,79.00000000,1,79
73,Obstacle,-22.00000000,22,999
73,Finish + Obstacle,79.00000000,0,79
74,Finish,79.00000000,4,80
74,Obstacle,-10.00000000,10,999
74,Finish + Obstacle,77.00000000,2,79
75,Finish,79.00000000,0,79
75,Obstacle,-48.00000000,48,999
75,Finish + Obstacle,75.00000000,4,79
76,Finish,79.00000000,1,79
76,Obstacle,-15.00000000,15,999
76,Finish + Obstacle,78.00000000,1,79
77,Finish,79.00000000,2,79
77,Obstacle,-74.00000000,74,999
77,Finish + Obstacle,78.00000000,1,79
78,Finish,79.00000000,3,80
78,Obstacle,-29.00000000,29,999
78,Finish + Obstacle,78.00000000,1,79
79,Finish,79.00000000,2,79
79,Obstacle,-12.00000000,12,999
79,Finish + Obstacle,78.00000000,1,80
80,Finish,79.00000000,4,79
80,Obstacle,-24.00000000,24,999
80,Finish + Obstacle,79.00000000,0,80
81,Finish,79.00000000,3,79
81,Obstacle,-42.00000000,42,999
81,Finish + Obstacle,78.00000000,1,79
82,Finish,79.00000000,4,79
82,Obstacle,-26.00000000,26,999
82,Finish + Obstacle,75.00000000,4,79
83,Finish,79.00000000,3,79
83,Obstacle,0.00000000,0,999
83,Finish + Obstacle,79.00000000,0,79
84,Finish,79.00000000,1,79
84,Obstacle,-44.00000000,44,999
84,Finish + Obstacle,76.00000000,3,79
85,Finish,79.00000000,1,79
85,Obstacle,-34.00000000,34,999
85,Finish + Obstacle,78.00000000,1,79
86,Finish,79.00000000,2,80
86,Obstacle,-21.00000000,21,999
86,Finish + Obstacle,75.00000000,4,79
