0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145
0.165,0.17,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0.165,0.16,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
0.2,0.22,0.42,0.555,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
0.175,0.28,0.515,0.61,0.61,0.6,0.6,0.6,0.6,0.6,0.6,0.6
0.245,0.385,0.55,0.65,0.7,0.695,0.68,0.68,0.68,0.68,0.68,0.68
0.26,0.35,0.56,0.7,0.71,0.71,0.685,0.69,0.69,0.69,0.69,0.69
0.21,0.36,0.595,0.74,0.815,0.79,0.78,0.775,0.79,0.79,0.79,0.79
0.24,0.38,0.625,0.77,0.845,0.85,0.83,0.835,0.84,0.84,0.84,0.84
0.225,0.395,0.735,0.805,0.915,0.9,0.895,0.895,0.875,0.87,0.86,0.86
0.215,0.405,0.69,0.89,0.96,0.965,0.97,0.965,0.94,0.935,0.93,0.93
0.22,0.4,0.665,0.895,0.965,0.965,0.98,0.98,0.96,0.945,0.955,0.955
0.205,0.35,0.65,0.93,0.995,0.99,0.99,0.985,0.985,0.98,0.98,0.98
0.19,0.385,0.665,0.935,0.98,0.98,0.985,0.985,0.985,0.98,0.98,0.98
