0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095
0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.23,0.235,0.295,0.235,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
0.28,0.275,0.485,0.495,0.49,0.465,0.465,0.465,0.465,0.465,0.465,0.465
0.295,0.35,0.5,0.58,0.56,0.515,0.53,0.53,0.53,0.53,0.53,0.53
0.295,0.385,0.515,0.645,0.625,0.585,0.585,0.575,0.575,0.575,0.575,0.575
0.25,0.435,0.57,0.7,0.725,0.735,0.71,0.695,0.7,0.7,0.7,0.7
0.29,0.42,0.66,0.765,0.79,0.785,0.78,0.755,0.745,0.755,0.755,0.755
0.26,0.46,0.725,0.875,0.89,0.875,0.86,0.845,0.835,0.815,0.84,0.84
0.235,0.415,0.755,0.915,0.95,0.94,0.94,0.94,0.945,0.93,0.94,0.94
0.275,0.47,0.735,0.905,0.96,0.975,0.965,0.97,0.955,0.965,0.96,0.96
0.3,0.445,0.74,0.935,0.98,0.99,0.985,0.99,0.985,0.985,0.98,0.98
0.21,0.455,0.73,0.955,0.995,1,0.995,0.99,0.995,0.99,0.995,0.995
