0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145
0.165,0.17,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0.16,0.24,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
0.16,0.22,0.37,0.54,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
0.115,0.24,0.44,0.52,0.57,0.54,0.54,0.54,0.54,0.54,0.54,0.54
0.19,0.335,0.445,0.535,0.58,0.65,0.64,0.64,0.64,0.64,0.64,0.64
0.15,0.31,0.495,0.575,0.66,0.64,0.66,0.66,0.66,0.66,0.66,0.66
0.155,0.3,0.575,0.685,0.735,0.705,0.74,0.755,0.745,0.745,0.745,0.745
0.235,0.335,0.565,0.655,0.74,0.78,0.77,0.75,0.75,0.745,0.745,0.745
0.16,0.315,0.57,0.715,0.83,0.82,0.78,0.765,0.75,0.755,0.78,0.78
0.19,0.325,0.6,0.825,0.9,0.91,0.92,0.905,0.905,0.915,0.9,0.9
0.145,0.245,0.58,0.835,0.895,0.92,0.915,0.925,0.945,0.925,0.915,0.915
0.22,0.305,0.585,0.875,0.96,0.96,0.96,0.955,0.95,0.94,0.945,0.945
0.17,0.275,0.535,0.885,0.975,0.975,0.975,0.97,0.97,0.96,0.95,0.95
