0.0892,0.0892,0.0892,0.0892,0.0892,0.0892,0.0892,0.0892,0.0892,0.0892,0.0892,0.0892
0.1608,0.1608,0.1608,0.1608,0.1608,0.1608,0.1608,0.1608,0.1608,0.1608,0.1608,0.1608
0.1575,0.1747,0.3238,0.3238,0.3238,0.3238,0.3238,0.3238,0.3238,0.3238,0.3238,0.3238
0.1872,0.2253,0.3792,0.4335,0.4335,0.4335,0.4335,0.4335,0.4335,0.4335,0.4335,0.4335
0.1621,0.2285,0.3809,0.5019,0.5607,0.5607,0.5607,0.5607,0.5607,0.5607,0.5607,0.5607
0.146,0.2188,0.4385,0.5046,0.567,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895
0.1719,0.2439,0.4093,0.5175,0.6059,0.6229,0.6213,0.6213,0.6213,0.6213,0.6213,0.6213
0.1659,0.2956,0.4282,0.5658,0.6422,0.6433,0.6383,0.6395,0.6395,0.6395,0.6395,0.6395
0.178,0.3044,0.4989,0.6446,0.7172,0.7225,0.7241,0.7201,0.7202,0.7202,0.7202,0.7202
0.2123,0.3274,0.5204,0.6741,0.7565,0.7731,0.7735,0.7711,0.7728,0.7716,0.7716,0.7716
0.1997,0.3059,0.5611,0.7276,0.8053,0.8229,0.817,0.8155,0.8117,0.81,0.8099,0.8099
0.2136,0.3288,0.5672,0.8025,0.8973,0.9036,0.9029,0.9003,0.8978,0.8957,0.896,0.896
0.214,0.3231,0.5754,0.8233,0.9208,0.9225,0.9225,0.9175,0.9156,0.9153,0.9153,0.9153
0.2123,0.3235,0.5931,0.8498,0.9408,0.9462,0.9467,0.9463,0.9425,0.9423,0.9425,0.9425
0.2105,0.3248,0.6013,0.8585,0.9475,0.9523,0.951,0.9506,0.9495,0.9489,0.9489,0.9489
