0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912
0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.157
0.1382,0.1744,0.3076,0.3076,0.3076,0.3076,0.3076,0.3076,0.3076,0.3076,0.3076,0.3076
0.183,0.2184,0.3432,0.3858,0.3858,0.3858,0.3858,0.3858,0.3858,0.3858,0.3858,0.3858
0.1588,0.2074,0.3336,0.4228,0.4786,0.4786,0.4786,0.4786,0.4786,0.4786,0.4786,0.4786
0.1354,0.2096,0.3988,0.4498,0.4896,0.519,0.519,0.519,0.519,0.519,0.519,0.519
0.161,0.2424,0.3832,0.463,0.5306,0.5558,0.5538,0.5538,0.5538,0.5538,0.5538,0.5538
0.1512,0.2706,0.3924,0.5146,0.5788,0.5762,0.5708,0.5728,0.5728,0.5728,0.5728,0.5728
0.1668,0.283,0.4592,0.5932,0.6534,0.6598,0.6578,0.6552,0.654,0.654,0.654,0.654
0.2002,0.3132,0.4758,0.6228,0.7118,0.725,0.7214,0.721,0.723,0.7234,0.7234,0.7234
0.1732,0.2684,0.5052,0.6852,0.7558,0.7734,0.7658,0.7624,0.758,0.7564,0.7562,0.7562
0.1976,0.3144,0.536,0.7716,0.8692,0.8722,0.8708,0.8682,0.8656,0.8618,0.862,0.862
0.2008,0.3066,0.5432,0.7972,0.8988,0.896,0.8976,0.892,0.8914,0.8918,0.8918,0.8918
0.1998,0.305,0.5646,0.8244,0.9214,0.925,0.925,0.9248,0.9218,0.9216,0.922,0.922
0.2044,0.3176,0.5732,0.8304,0.9288,0.9328,0.9328,0.9326,0.9308,0.9302,0.93,0.93
