obstacle	finish	combined
-0.10201020	0.00227326	0.19834711
-0.09200920	0.38613861	-0.01000000
-0.06750675	0.39000000	-0.01010101
-0.02650265	0.38613861	0.19191919
-0.05850585	0.39393939	-0.05940594
-0.31853185	0.39393939	0.24242424
-0.05450545	0.37864078	0.24242424
-0.05650565	0.39393939	0.03960396
-0.14501450	0.39000000	0.04040404
-0.14651465	0.39393939	0.09090909
-0.23002300	0.39393939	-0.05825243
-0.08750875	0.39000000	0.19191919
-0.14951495	0.39000000	0.13861386
-0.08100810	0.39000000	-0.06000000
-0.00300030	0.39000000	0.18811881
-0.01400140	0.38613861	0.08737864
-0.00450045	0.39393939	0.09000000
-0.00300030	0.39393939	0.04040404
-0.00550055	0.39393939	-0.01010101
-0.00750075	0.39393939	0.09000000
-0.01250125	0.37142857	0.04040404
-0.01000100	0.39000000	-0.05940594
-0.31803180	0.38613861	0.14141414
-0.04450445	0.37500000	0.08910891
-0.00400040	0.39393939	0.29292929
-0.00350035	0.39393939	0.23762376
-0.01200120	0.39000000	0.08737864
-0.00500050	0.38613861	-0.01000000
-0.00750075	0.39393939	-0.01000000
-0.00600060	0.39393939	-0.10891089
-0.00200020	0.38613861	0.13861386
-0.01600160	0.39393939	0.04040404
-0.04950495	0.39000000	0.08910891
-0.03300330	0.39393939	-0.15841584
