obstacle	finish	combined
0.72772773	0.01110988	1.00100100
0.91691692	2.22222222	1.00100100
0.95895896	2.38095238	1.00100100
1.00100100	2.32558140	0.95895896
1.00100100	2.17391304	1.00100100
0.97997998	2.12765957	0.93793794
0.95895896	2.50000000	0.85129604
1.00100100	2.00000000	-1.49407783
1.00100100	2.50000000	0.43779904
1.00100100	2.32558140	-1.34240363
1.00100100	2.43902439	0.20833333
0.89589590	1.96078431	0.64339909
1.00100100	2.27272727	0.49134199
1.00100100	2.08333333	1.16227181
0.87487487	2.50000000	-0.09438202
1.00100100	2.38095238	0.41768293
1.00100100	2.38095238	1.20671835
1.00100100	2.50000000	-0.18726592
1.00100100	2.08333333	-0.12666667
1.00100100	2.38095238	0.40972222
1.00100100	2.12765957	-0.01195219
1.00100100	2.27272727	1.19573643
0.91691692	2.22222222	1.14428571
0.93793794	2.12765957	1.30886850
1.00100100	2.38095238	0.18201285
0.74874875	2.17391304	1.21767241
1.00100100	2.43902439	0.78692494
1.00100100	2.38095238	0.62741313
1.00100100	2.38095238	0.70158103
1.00100100	2.50000000	1.13342140
1.00100100	2.17391304	0.09375000
1.00100100	2.56410256	-2.60222222
1.00100100	2.17391304	1.17324185
1.00100100	2.32558140	1.15634675
1.00100100	2.32558140	0.40877598
1.00100100	2.27272727	0.95621716
0.97997998	2.22222222	0.74117647
1.00100100	2.50000000	0.22876950
1.00100100	2.56410256	0.25925926
1.00100100	2.38095238	0.92603550
0.97997998	2.32558140	1.27150538
-0.99599600	2.12765957	2.43902439
1.00100100	2.27272727	2.86046512
1.00100100	2.43902439	2.37209302
0.79079079	2.38095238	2.86046512
1.00100100	2.32558140	1.90476190
0.58058058	2.38095238	2.86046512
1.00100100	2.43902439	2.40476190
1.00100100	2.50000000	2.95121951
1.00100100	2.22222222	3.34883721
1.00100100	2.04081633	2.95121951
1.00100100	2.32558140	2.86046512
-0.11311311	2.17391304	2.90476190
1.00100100	2.43902439	2.90476190
1.00100100	2.50000000	3.52500000
1.00100100	2.22222222	2.31111111
1.00100100	2.43902439	2.81818182
0.97997998	2.22222222	2.95121951
1.00100100	2.50000000	2.25531915
1.00100100	2.32558140	3.52500000
0.95895896	2.50000000	2.90476190
1.00100100	2.43902439	2.40476190
1.00100100	2.38095238	2.31111111
1.00100100	2.38095238	2.37209302
0.85385385	2.27272727	2.90476190
0.95895896	2.32558140	2.81818182
1.00100100	2.32558140	3.05128205
1.00100100	2.22222222	3.00000000
1.00100100	2.43902439	3.58974359
1.00100100	2.27272727	2.37209302
1.00100100	2.50000000	2.47500000
1.00100100	2.38095238	1.36956522
1.00100100	2.50000000	3.34883721
1.00100100	2.27272727	2.37209302
1.00100100	2.22222222	2.37209302
0.97997998	2.22222222	2.81818182
1.00100100	2.38095238	3.34883721
1.00100100	2.27272727	3.40476190
1.00100100	2.32558140	2.40476190
1.00100100	2.27272727	2.90476190
0.85385385	2.38095238	3.34883721
1.00100100	2.38095238	1.37777778
1.00100100	2.43902439	3.40476190
1.00100100	2.32558140	3.58974359
1.00100100	2.38095238	1.86363636
1.00100100	2.43902439	3.00000000
1.00100100	2.32558140	2.73913043
1.00100100	2.38095238	2.34090909
1.00100100	2.38095238	2.95121951
1.00100100	2.38095238	2.86046512
0.95895896	2.38095238	2.51282051
1.00100100	2.27272727	1.84444444
1.00100100	2.27272727	2.34090909
1.00100100	2.22222222	1.36956522
0.11811812	2.32558140	2.37209302
1.00100100	2.32558140	1.80851064
1.00100100	2.32558140	2.18000000
1.00100100	2.38095238	3.24444444
1.00100100	2.50000000	2.73913043
0.72772773	2.22222222	2.90476190
1.00100100	2.12765957	2.95121951
1.00100100	2.50000000	2.37209302
1.00100100	2.27272727	2.70212766
0.91691692	2.27272727	2.86046512
1.00100100	2.32558140	2.86046512
1.00100100	2.27272727	2.25531915
1.00100100	2.43902439	3.19565217
1.00100100	2.32558140	2.53846154
1.00100100	2.38095238	2.66666667
0.97997998	2.43902439	2.63265306
1.00100100	2.38095238	2.95121951
1.00100100	1.96078431	1.86363636
1.00100100	2.38095238	2.94230769
1.00100100	2.32558140	2.34090909
1.00100100	2.27272727	2.40476190
0.76976977	2.17391304	2.77777778
1.00100100	2.17391304	2.20408163
0.97997998	2.32558140	2.28260870
1.00100100	2.50000000	1.92682927
0.87487487	2.12765957	2.34090909
